municipio,quarter,pib_mun,total_pixeles_median,suma_rad_trend_sum,suma_rad_trend_mean,suma_rad_trend_std,suma_rad_trend_median,media_rad_trend_mean,std_rad_trend_mean,max_rad_trend_max,min_rad_trend_min,p25_rad_trend_mean,mediana_rad_trend_mean,p75_rad_trend_mean
la magdalena contreras,2021Q3,72043.90203801393,254.0,2594586.580821918,35061.98082191781,0.0,35061.98082191781,135.97628612324976,171.87545197684685,597.5178082191779,21.512328767123293,31.3508422806368,40.33850425768234,170.1760921880785
la magdalena contreras,2021Q4,72270.66162634148,254.0,2349152.715068493,35061.98082191781,0.0,35061.98082191781,133.18218807805437,163.86635464546725,593.9671232876714,21.610958904109594,32.5882130443672,42.56127581271724,165.67526068288697
la magdalena contreras,2022Q1,72990.25551395907,254.0,2594586.580821918,35061.98082191781,0.0,35061.98082191781,130.21927865736515,155.5163487931564,564.254794520548,23.789041095890408,34.697213994816735,44.62151055164753,160.45827471306922
la magdalena contreras,2022Q2,74223.82758175224,254.0,2376333.419178082,35467.66297280719,478.28742926927396,35234.356164383564,138.36651925358646,173.89991950561176,635.6821917808219,21.47945205479452,32.27649764874259,41.7405847474954,171.93452259251686
la magdalena contreras,2022Q3,75359.82106472563,254.0,2409176.493150685,36502.67413864674,114.19666187635019,36536.26438356165,143.71131550648323,187.3917711194348,648.0273972602739,20.909589041095884,29.60679742631798,38.87783312577833,182.56446658364467
la magdalena contreras,2023Q1,77374.18736237657,254.0,2656102.953424657,35414.7060456621,213.73054606111268,35435.36986301369,139.4273943839212,172.70740744370937,625.5424657534248,22.66027397260274,33.14932420091324,43.424748858447494,182.1400730593607
la magdalena contreras,2023Q2,78012.6753505897,254.0,2258337.290410959,37021.92279362228,747.6404073048848,37129.213698630156,145.755601549694,183.78910742442764,675.2027397260274,22.479452054794525,32.93523467325399,43.81394565461487,188.9176061082416
la magdalena contreras,2023Q4,78012.6753505897,254.0,3024609.8383561643,38286.20048552107,579.768727945827,38318.6493150685,150.73307277764198,187.02788160442233,686.4986301369863,23.0,35.25939830067626,47.190332928732445,198.47097277614012
milpa alta,2012Q1,35507.71794255733,1373.0,5537449.224657535,82648.49589041097,0.0,82648.49589041097,60.19555418092569,75.92119851933923,535.2356164383563,14.369868493150683,23.517808219178086,30.624657534246573,52.463013698630135
milpa alta,2012Q2,35693.35703666334,1373.0,7025122.150684932,82648.49589041097,0.0,82648.49589041097,60.1955541809257,75.92119851933923,535.2356164383563,14.369868493150683,23.517808219178086,30.624657534246573,52.46301369863014
milpa alta,2012Q3,35907.03018691038,1373.0,6322573.726027397,82111.3470912649,994.4856723700142,82648.49589041097,59.80433145758551,75.97613982135896,547.1643835616441,12.739731506849315,23.151218644369333,30.23415762319872,52.034477850916204
milpa alta,2012Q4,36047.39931794862,1373.0,5958846.575342465,79451.28767123287,829.3883233255248,79322.61369863011,57.86692474234004,71.17289800358967,535.7972602739727,13.243841095890412,23.01592694063927,30.246538812785396,52.02107762557078
milpa alta,2013Q1,36251.443677656884,1373.0,5800356.356164384,79456.93638581347,644.7163247981975,79531.24657534249,57.871038882602676,66.71583419056566,489.04931506849306,14.194526027397258,25.03190091949709,32.20349033589792,53.06222555826609
milpa alta,2013Q2,36432.86117395284,1373.0,6220001.430136985,79743.6080786793,758.231253385804,79670.74794520545,58.07983108425295,69.46899999211777,509.6246575342466,14.564394520547944,24.595995785036884,31.20762205830699,51.55079030558482
milpa alta,2013Q3,36614.07143991918,1373.0,5607541.049315068,77882.51457382039,745.1988344723618,77870.84246575342,56.72433690737101,68.47472101550288,508.676712328767,14.424668493150687,23.84855403348554,29.973059360730595,49.96655251141553
milpa alta,2013Q4,36786.0485210139,1373.0,5518986.495890412,75602.55473822482,1221.9358039331485,75761.2273972603,55.063768928058856,60.86022340473557,461.1561643835616,14.432884931506848,24.95762807280916,31.497992118596365,51.56971289172453
milpa alta,2014Q2,36957.74434847676,1373.0,4525806.865753424,74193.55517628565,934.9130363440282,74295.46575342464,54.03754929081256,61.373813511569686,474.9808219178084,12.69041917808219,23.683314619357738,30.84105097686953,50.74453177633056
milpa alta,2014Q3,37238.19402442446,1373.0,5981936.093150686,76691.48837372674,766.0409883257698,76680.24520547944,55.85687427074052,64.85846255406746,486.6904109589041,12.945213698630138,24.039936775553215,31.468563400070245,51.61246926589392
milpa alta,2014Q4,37596.91129624602,1373.0,5408665.652054794,77266.65217221134,401.8837359254069,77295.27671232878,56.275784539119705,60.00863444825833,474.41369863013705,14.128769863013702,26.06900195694716,33.94090019569472,54.486301369863014
milpa alta,2015Q1,37857.827898731884,1373.0,5682250.293150685,81175.00418786693,1983.71653332375,82062.56438356164,59.122362846225,58.55845489757107,457.6739726027397,15.600002739726024,29.302778864970644,37.54434442270058,58.16015655577299
milpa alta,2015Q3,38261.876936095265,1373.0,5780131.180821918,86270.6146391331,860.382587525545,86167.71232876714,62.83365960606926,68.6245159860494,538.3753424657533,18.241104109589045,29.523533019832346,36.844980576569206,57.67511756287058
milpa alta,2015Q4,38493.75370827925,1373.0,6529240.57260274,85911.06016582552,622.2099314516831,86086.83424657534,62.57178453446869,64.88757754799782,514.2547945205478,18.942471232876716,30.648882480173036,37.90537130497476,59.04023071377073
milpa alta,2016Q1,38617.97615734987,1373.0,6376322.706849315,87346.8863951961,826.1424156680299,87152.35068493153,63.617542895263,61.05792623495746,459.22191780821925,20.03562191780822,33.05933571026459,40.7185588290486,62.006567836367054
milpa alta,2016Q2,38875.71010700592,1373.0,6224823.071232877,86455.87598934551,1235.787397528325,86117.84109589038,62.96859139792098,64.57912472144886,498.45753424657534,17.106865753424653,30.996385083713854,38.65388127853881,60.12043378995434
milpa alta,2016Q3,39242.6095724739,1373.0,6310337.75890411,86442.98299868644,657.60832966396,86468.6410958904,62.95920101870825,69.06289615621036,508.1643835616439,16.802753424657535,29.133571026459,36.78119722274348,58.59699756051792
milpa alta,2016Q4,39488.0893485273,1373.0,5902685.994520548,85546.17383363112,951.090718259226,85838.76712328766,62.30602609878451,64.47242228546096,493.82191780821915,16.74521917808219,29.90994639666468,37.78014691284495,59.84935477466747
milpa alta,2017Q1,39600.89125906177,1373.0,6110637.323287671,84869.96282343988,975.5650168934992,84912.06986301369,61.81351990053887,59.99645990030111,438.0821917808219,17.20275068493151,31.045700152207,39.09611872146118,60.84535768645358
milpa alta,2017Q2,39617.45135418906,1373.0,5622625.980821918,83919.79075853608,699.9897331189278,84060.49863013695,61.12147906666868,67.24341400779825,502.6849315068493,15.635635616438355,27.6978940911879,35.28542220404826,56.94414230218769
milpa alta,2017Q3,39753.79354775214,1373.0,6584788.945205479,84420.37109237793,608.0378312580365,84313.60547945206,61.486067802168925,72.467505871608,526.9424657534248,14.991794520547947,25.913171759747105,32.88064629434492,55.63003161222339
milpa alta,2017Q4,39932.93063750598,1373.0,5112966.695890411,82467.20477242598,1003.7793735157317,82207.24657534246,60.063514036726865,66.71246295028337,501.8575342465752,15.665764383561644,26.51891294741494,33.52377375165709,56.80653999116217
milpa alta,2018Q2,40467.60636166656,1373.0,5405219.276712329,81897.26176836863,672.9437373880871,81821.9397260274,59.64840624061808,69.9971296025083,543.9013698630134,13.775367123287669,24.815649647156498,31.78053134080531,55.58107098381071
milpa alta,2018Q3,40607.539209138056,1373.0,6173477.731506849,82313.03642009132,374.4351263294896,82362.44383561645,59.95122827391939,76.46457557174278,555.5041095890411,13.263035616438353,22.629296803652966,29.00807305936073,53.50619178082192
milpa alta,2018Q4,40571.368176414966,1373.0,6439019.150684931,81506.57152765736,461.00489818817346,81592.63287671233,59.363853989553796,72.3739589826205,551.9616438356165,13.493172602739723,23.460135252297558,30.122524709554362,55.20339864747702
milpa alta,2019Q1,40524.8852088567,1373.0,5418019.183561644,82091.199750934,897.7609205779494,82307.81095890413,59.78965750250109,68.2612667041123,509.8356164383563,14.18358904109589,25.446741386467412,32.35114155251142,57.28293897882939
milpa alta,2019Q2,40360.96427229468,1373.0,5352380.063013699,83630.93848458905,582.6326346166264,83563.99589041097,60.91109867777789,72.2576421532523,558.8602739726027,14.378112328767124,25.209203767123288,31.97452910958904,56.54627568493151
milpa alta,2019Q3,39714.59960588214,1373.0,6421889.194520548,84498.54203316511,612.4442157719566,84448.4479452055,61.543002209151574,75.44625439543283,571.3013698630137,14.274002739726026,24.710237923576063,31.306092285508296,56.10616438356164
milpa alta,2020Q2,36010.07428987692,1373.0,6198814.764383561,83767.76708626434,1097.0000905783725,83895.43698630137,61.01075534323696,66.95658832904148,533.5260273972603,14.07950136986301,27.488670862643467,35.08519067012218,58.6992225101814
