municipio,quarter,fecha,total_pixeles_median,suma_rad_trend_sum,suma_rad_trend_mean,suma_rad_trend_std,suma_rad_trend_median,media_rad_trend_mean,std_rad_trend_mean,max_rad_trend_max,min_rad_trend_min,p25_rad_trend_mean,mediana_rad_trend_mean,p75_rad_trend_mean,entidad_federativa,porc_pob,pibe,pib_mun
oaxaca de juarez,2014Q3,2014-09-30,159.0,3447581.0693232524,37473.707275252746,213.1415502171926,37472.475196180545,235.68369355504856,101.36241855007086,629.4009462750498,48.6054112206273,169.43703258849385,216.33946995126118,278.61691847393706,OAX,0.06557243351,"257,965.4",16835.150020004978
oaxaca de juarez,2014Q4,2014-12-31,159.0,3391001.3601447437,36858.71043635591,130.5308811351349,36841.70524435006,231.8157889078986,98.1676383784136,605.1303332499948,47.986774083290804,167.68585968677115,212.75400159438573,274.87003006974163,OAX,0.06557243351,"265,374.6",16926.813772936603
oaxaca de juarez,2015Q1,2015-03-31,159.0,3285284.143557267,36503.157150636296,102.05930874361076,36512.11798919511,229.5796047209827,95.93091045535289,583.2656623430343,47.98661111821666,167.00299049446923,210.65113410033962,273.0157174638946,OAX,0.06557243351,"260,612.9",16992.047393490284
oaxaca de juarez,2015Q2,2015-06-30,159.0,3281647.592563816,36062.06145674523,135.0856500511928,36051.04606587572,226.80541796695073,93.77894505865854,565.5047217240091,48.327880206808295,165.6068904142194,208.08328142539293,270.52759708588195,OAX,0.06557243351,"250,198.3",17004.926051969476
oaxaca de juarez,2015Q3,2015-09-30,159.0,3294673.6117484495,35811.66969291793,18.465930529551596,35806.915918891405,225.23062699948352,92.0903019571051,545.2069622821728,48.63291712673882,164.5032778107993,206.4349182079067,269.5356077823248,OAX,0.06557243351,"262,600.4",16930.561974195964
oaxaca de juarez,2015Q4,2015-12-31,159.0,3307626.6724168872,35952.46383061834,64.79936855723898,35951.76896421955,226.11612472086975,92.03032923927913,535.3050339391912,49.080472459783316,164.4940727674756,206.7408052507154,271.6507988200524,OAX,0.06557243351,"265,283.7",16767.29226427063
oaxaca de juarez,2016Q1,2016-03-31,159.0,3290802.4617376295,36162.664414699226,52.25079086268816,36165.17325447009,227.43814097295092,92.92930632484293,539.0647415536578,49.75619853548124,164.76365451232974,207.58786085691926,274.42485368071726,OAX,0.06557243351,"256,580.3",16519.189481179357
oaxaca de juarez,2016Q2,2016-06-30,159.0,3310669.722080624,36380.98595692994,82.65642480491316,36374.67799965376,228.81123243352152,93.61445227628693,542.3601653336982,49.9134652870833,165.63071563609876,209.02498578038353,277.13488916110555,OAX,0.06557243351,"234,029.0",16275.375434357291
oaxaca de juarez,2016Q3,2016-09-30,159.0,3373127.2193977195,36664.4262978013,63.83691199256079,36678.18141213921,230.59387608680058,94.62426343247894,546.2420940846725,50.10301609316886,167.32574357773453,211.24391099516248,280.15630983460017,OAX,0.06557243351,"239,431.8",16079.337597659
oaxaca de juarez,2016Q4,2016-12-31,159.0,3377547.369650208,36712.47140924139,27.195108756748812,36719.164740380606,230.89604659900237,94.9567495441962,546.5028091989082,50.52610570864846,168.31581660500908,212.38920903729536,281.37357495757385,OAX,0.06557243351,"246,272.5",15993.884147618752
oaxaca de juarez,2017Q1,2017-03-31,159.0,3296851.2210887494,36631.680234319436,9.506420865491721,36629.03664184174,230.38792600200884,94.46571144704994,546.0456606367078,50.4400882178555,168.5449891847247,212.41794064386534,281.4635778163049,OAX,0.06557243351,"250,518.6",16077.22738135021
oaxaca de juarez,2017Q2,2017-06-30,159.0,3341451.936825044,36719.252053022465,48.600839191419155,36714.58048665676,230.93869215737377,95.2173521453624,563.2604366068288,50.45736971843572,168.64324201027708,212.23275365524643,282.6239594680095,OAX,0.06557243351,"247,011.1",16226.748272373974
oaxaca de juarez,2017Q3,2017-09-30,159.0,3404599.5406677043,37006.51674638809,135.94076914703882,36985.9943448019,232.74538834206322,98.54694676736698,605.2127749765067,50.70796017402613,168.0654646326871,211.90343590076222,284.82337077060384,OAX,0.06557243351,"253,764.9",16382.88699017918
oaxaca de juarez,2017Q4,2017-12-31,159.0,3469634.818710426,37713.42194250463,268.64639056657177,37699.73897560043,237.19133297172698,104.95778565758631,661.1857855823071,50.99721524001881,167.94069587299643,212.89341157500326,289.50822871161466,OAX,0.06557243351,"259,470.5",16498.106985571758
oaxaca de juarez,2018Q1,2018-03-31,159.0,3481697.518250169,38685.52798055744,273.993969759874,38694.74790172382,243.30520742488943,113.10228353004803,718.5643788678963,51.71340221199819,168.2233989429257,214.77788469963068,295.3866519601437,OAX,0.06557243351,"260,740.4",16452.69348021553
oaxaca de juarez,2018Q2,2018-06-30,159.0,3593455.189568237,39488.518566683924,188.37738889726708,39501.671168090485,248.35546268354665,121.92145152954593,776.0023894362837,52.79934010880649,167.003514305809,215.38444695480243,299.0818872519914,OAX,0.06557243351,"235,030.3",16299.005029663036
oaxaca de juarez,2018Q3,2018-09-30,159.0,3684162.1823213254,40045.24111218832,148.16818271441153,40045.203276162836,251.85686234080703,130.42350546842,821.3840666522884,53.59285024047009,164.87475650711755,214.94073862476304,300.49269774581506,OAX,0.06557243351,"243,292.1",16130.084121804623
oaxaca de juarez,2018Q4,2018-12-31,159.0,3731697.5601816988,40561.930001974986,150.71072288011382,40564.20675614108,255.10647799984275,136.64645506875718,847.4197321284738,54.4996052995748,164.63624113066274,215.83366072844285,301.5878879227215,OAX,0.06557243351,"249,759.6",15912.356112497697
oaxaca de juarez,2019Q1,2019-03-31,159.0,3693305.8561860994,41036.7317354011,132.7040821718322,41031.20105563526,258.0926524239064,139.91811410607474,860.7038445569491,56.060445991931275,166.5362414339045,218.72586517478518,302.9244836491307,OAX,0.06557243351,"252,892.5",15676.865240763978
oaxaca de juarez,2019Q2,2019-06-30,159.0,3795928.8835512446,41713.50421484884,293.4360745877187,41676.34914650214,262.349083112257,140.64552291393235,863.60334537165,57.631445849736906,171.78616917622404,225.66383326326627,306.6304871497808,OAX,0.06557243351,"221,796.4",15457.615573655858
oaxaca de juarez,2019Q3,2019-09-30,159.0,3966484.772138641,43113.964914550445,505.62507950095625,43092.5186446814,271.15701204119796,138.80806432162558,862.7118913178558,59.53931248758511,183.36044515612681,239.62885657143505,315.8583235540905,OAX,0.06557243351,"227,097.5",15263.89529807476
oaxaca de juarez,2019Q4,2019-12-31,159.0,4092371.830588217,44971.11901745293,540.1733145642385,44981.9056514617,282.83722652486136,135.6625190252319,852.1372563641804,62.42817502944705,197.99565002894636,256.8940268979694,328.72224227379513,OAX,0.06557243351,"226,981.8",15167.903038852992
oaxaca de juarez,2020Q1,2020-03-31,159.0,4253056.389052933,46736.88339618608,497.0194222010338,46734.696657993045,293.94266286909493,132.7960260456653,838.9766897250402,65.28155007282311,211.65605582497912,273.1461363162283,341.6508025303349,OAX,0.06557243351,"237,528.1",15206.135993788905
oaxaca de juarez,2020Q2,2020-06-30,159.0,4414674.431792235,48512.905843870714,533.423981393666,48510.691309478985,305.11261537025615,130.46465707547813,825.6979260474697,67.78676022612117,225.16439194317857,288.2666796404292,355.0289151170205,OAX,0.06557243351,"190,706.2",15274.00565454449
oaxaca de juarez,2020Q3,2020-09-30,159.0,4622542.173594641,50245.0236260287,433.8110236067162,50286.011061121026,316.00643789955166,129.16380025635783,809.9754601105254,70.75203489568631,236.89699351650276,300.77188191781005,368.92146007811886,OAX,0.06557243351,"228,993.1",15428.983291791015
oaxaca de juarez,2020Q4,2020-12-31,159.0,4712428.044905078,51222.04396635954,148.19639841150615,51253.11211663124,322.15121991421086,128.60609662402845,796.0678896834562,73.16610961616958,242.57303769055096,306.9282409624046,378.59911833016207,OAX,0.06557243351,"245,458.5",15655.120361391688
oaxaca de juarez,2021Q1,2021-03-31,159.0,4628736.984557779,51430.41093953087,23.553824062718625,51438.28564295269,323.4617040222066,128.3748229601768,782.9767473551252,74.02103476285787,242.83983237133216,306.9385718130693,382.5775965218262,OAX,0.06557243351,"249,591.0",15860.600506150073
