fecha,municipio,entidad_federativa,porc_pob,pibe,pib_mun,year_pib,total_pixeles,suma_rad_trend,media_rad_trend,std_rad_trend,max_rad_trend,min_rad_trend,p25_rad_trend,mediana_rad_trend,p75_rad_trend,year_radianza
2021-09-30,tlalpan,CDMX,0.07169286372,2669881.7,194993.69917240093,2021,1427,168182.49315068492,117.85738833264536,152.78035541154532,971.2849315068494,14.468512328767126,24.917808219178085,37.26301369863013,150.68630136986303,2021
2021-12-31,tlalpan,CDMX,0.07169286372,2594129.6,195607.44564781353,2021,1427,159001.48493150686,111.42360541801462,137.87280252555786,883.0136986301369,15.945216438356162,27.67260273972603,40.29589041095891,139.7547945205479,2021
2022-03-31,tlalpan,CDMX,0.07169286372,2966769.4,197555.09520702765,2022,1427,164335.36164383564,115.16143072448187,141.39970751525743,906.7698630136988,17.106854794520554,29.6,42.54246575342465,143.98630136986296,2022
2022-06-30,tlalpan,CDMX,0.07169286372,2706016.8,200893.8757823471,2022,1427,175457.61643835617,122.95558264776184,161.34258132388084,1024.6794520547944,14.980827397260278,26.115068493150687,37.950684931506856,155.0082191780822,2022
2022-09-30,tlalpan,CDMX,0.07169286372,2840890.3,203968.5506016516,2022,1427,177478.6630136986,124.37187317007609,164.82828348246932,1028.0876712328768,14.808219178082194,25.109589041095894,36.720547945205475,158.0739726027397,2022
2023-03-31,tlalpan,CDMX,0.07169286372,3108307.2,209420.62530548865,2023,1427,176522.3287671233,123.70170200919645,159.12312427846177,961.1890410958904,16.21369863013699,27.75205479452055,40.53150684931507,153.9534246575343,2023
2023-06-30,tlalpan,CDMX,0.07169286372,2859903.6,211148.75400447458,2023,1427,188011.64931506847,131.75308291175088,173.46631587738264,1045.5479452054794,16.087671232876712,27.18767123287671,40.26301369863013,164.55890410958898,2023
2023-12-31,tlalpan,CDMX,0.07169286372,2829452.9,211148.75400447458,2023,1427,266194.3534246575,307.08247400908124,158.13768257359519,1114.482191780822,197.5780821917808,210.41095890410963,225.3095890410959,338.95205479452045,2023
2012-03-31,xochimilco,CDMX,0.04606222339,2633934.6,117104.90140486452,2012,492,101089.8794520548,205.46723465864798,128.08970053782852,590.4767123287671,29.323287671232876,87.38904109589042,182.31917808219177,304.6054794520548,2012
2012-06-30,xochimilco,CDMX,0.04606222339,2438708.1,117717.14147749725,2012,492,101089.8794520548,205.46723465864798,128.08970053782852,590.4767123287671,29.323287671232876,87.38904109589042,182.31917808219177,304.6054794520548,2012
2012-09-30,xochimilco,CDMX,0.04606222339,2592835.4,118421.8382206962,2012,492,99893.98356164385,203.03655195456062,127.61249216620173,602.619178082192,28.183561643835617,86.00205479452057,180.79041095890403,301.3438356164383,2012
2012-12-31,xochimilco,CDMX,0.04606222339,2598596.7,118884.77738443269,2012,492,93742.997260274,190.53454727697965,114.56355397250091,554.4712328767123,29.73698630136986,86.36917808219177,170.93424657534248,278.36643835616434,2012
2013-03-31,xochimilco,CDMX,0.04606222339,2673066.3,119557.71825504878,2013,492,93400.16712328764,189.83773805546275,113.28637421069342,550.2547945205478,31.386301369863013,87.09863013698626,170.16712328767125,276.46095890410953,2013
2013-06-30,xochimilco,CDMX,0.04606222339,2479978.8,120156.03544488408,2013,492,96196.96712328767,195.5222909009912,120.21096978718683,575.3671232876713,29.991780821917807,86.22465753424656,173.9,287.80410958904116,2013
