fecha,municipio,entidad_federativa,pib_mun,pib_interp,pib_nn,total_pixeles,suma_rad_trend,media_rad_trend,std_rad_trend,max_rad_trend,min_rad_trend,p25_rad_trend,mediana_rad_trend,p75_rad_trend,year
2017-03-22,miguel hidalgo,CDMX,,119513.88676928,119546.99345430543,180,77546.48767123286,430.8138203957382,194.92597269914302,1245.6301369863013,141.6164383561643,288.50342465753425,421.9972602739726,529.6164383561644,2017
2017-03-23,miguel hidalgo,CDMX,,119518.6162957122,119546.99345430543,180,77763.1123287671,432.01729071537295,195.56355217705647,1248.3013698630134,141.67671232876708,289.0842465753425,423.2849315068493,531.3123287671234,2017
2017-03-24,miguel hidalgo,CDMX,,119523.3458221444,119546.99345430543,180,78003.66575342465,433.353698630137,196.34000081989393,1253.1863013698626,141.6958904109589,289.82671232876714,424.5205479452055,533.0315068493152,2017
2017-03-26,miguel hidalgo,CDMX,,119528.07534857662,119546.99345430543,180,78203.07945205478,434.46155251141556,196.95769297838586,1255.5123287671227,141.6,290.3308219178083,425.78630136986305,534.6198630136987,2017
2017-03-27,miguel hidalgo,CDMX,,119532.80487500882,119546.99345430543,180,78366.6219178082,435.3701217656013,197.49965623528936,1257.7123287671227,141.53698630136986,290.68150684931504,426.65205479452055,535.8705479452055,2017
2017-03-29,miguel hidalgo,CDMX,,119537.53440144102,119546.99345430543,180,78601.6109589041,436.67561643835626,198.14232902081952,1260.347945205479,141.64383561643837,291.3664383561644,427.96438356164384,537.632191780822,2017
2017-03-30,miguel hidalgo,CDMX,,119542.26392787322,119546.99345430543,180,78713.90136986302,437.2994520547946,199.3853260290612,1269.78904109589,141.48767123287672,291.4842465753424,428.34657534246577,538.0636986301371,2017
2017-03-31,miguel hidalgo,CDMX,119546.99345430543,119546.99345430543,119546.99345430543,180,78772.83561643834,437.62686453576873,199.55301072468254,1270.621917808219,141.4,291.56095890410955,428.82328767123295,538.5698630136988,2017
2017-04-01,miguel hidalgo,CDMX,,119547.7395967102,119546.99345430543,180,78736.76438356163,437.42646879756484,197.9391572678352,1252.0191780821915,141.34520547945206,291.47328767123287,429.01506849315075,539.0575342465755,2017
2017-04-02,miguel hidalgo,CDMX,,119548.485739115,119546.99345430543,180,78829.50684931506,437.94170471841716,198.58415318416476,1256.4931506849312,140.8904109589041,291.47876712328764,429.5109589041096,539.8178082191783,2017
2017-04-03,miguel hidalgo,CDMX,,119549.23188151978,119546.99345430543,180,78917.06849315068,438.42815829528166,199.22318984187834,1258.2684931506847,140.2739726027397,291.36780821917813,430.0712328767124,540.8123287671235,2017
2017-04-05,miguel hidalgo,CDMX,,119549.97802392456,119546.99345430543,180,78984.58082191781,438.80322678843237,199.63882649501147,1259.2410958904104,139.76438356164383,291.363698630137,430.61369863013704,541.4479452054796,2017
2017-04-06,miguel hidalgo,CDMX,,119550.72416632934,119546.99345430543,180,79051.96164383562,439.17756468797575,200.0280964776818,1260.3041095890408,139.2109589041096,291.33972602739726,431.18082191780826,542.1328767123289,2017
2017-04-07,miguel hidalgo,CDMX,,119551.47030873413,119546.99345430543,180,79157.05205479452,439.761400304414,200.53273958935537,1262.4027397260272,138.73424657534247,291.5068493150685,431.8753424657535,542.9958904109591,2017
2017-04-08,miguel hidalgo,CDMX,,119552.21645113891,119546.99345430543,180,79269.35068493152,440.38528158295276,201.16488350185503,1265.454794520548,138.33972602739726,291.71986301369867,432.51232876712334,543.8698630136988,2017
2017-04-09,miguel hidalgo,CDMX,,119552.96259354369,119546.99345430543,180,79449.4,441.38555555555547,201.77764850286394,1267.621917808219,138.23013698630137,292.13082191780825,433.51917808219184,545.3753424657536,2017
2017-04-10,miguel hidalgo,CDMX,,119553.70873594849,119546.99345430543,180,79674.5506849315,442.6363926940639,202.437951113011,1270.6054794520546,138.26027397260273,292.7869863013699,434.79041095890415,547.0246575342468,2017
2017-04-11,miguel hidalgo,CDMX,,119554.45487835327,119546.99345430543,180,80000.44383561643,444.4469101978691,204.19236412431425,1282.912328767123,138.23287671232873,293.6417808219178,436.1232876712329,549.2164383561646,2017
2017-04-13,miguel hidalgo,CDMX,,119555.20102075805,119546.99345430543,180,80128.24383561642,445.1569101978691,204.71234890023115,1284.6082191780818,138.11232876712324,293.8691780821918,436.9342465753425,550.3397260273974,2017
2017-04-14,miguel hidalgo,CDMX,,119555.94716316283,119546.99345430543,180,80184.73698630136,445.4707610350076,205.11170984682244,1286.3972602739723,137.772602739726,293.8383561643836,437.3315068493151,550.8767123287672,2017
2017-04-16,miguel hidalgo,CDMX,,119556.69330556762,119546.99345430543,180,80446.61643835614,446.9256468797564,205.9260555887413,1291.6684931506848,137.86027397260273,294.6575342465753,438.74520547945207,552.864383561644,2017
